|in |vo|ce as|sai |più |che |la |no|stra |vi|va.
“ |Io |veg|gio |ben |l’ a|mor |che |tu |m’ ac|cen|ne.
|Rup|pe il |si|len|zio |ne’ |con|cor|di |nu|mi
|già |s’ im|bian|ca|va al |bal|co |d’ o|rï|en|te,
|che |so|mi|gliò |to|nar |che |to|sto |se|gua:
|lo |men|to a |gui|sa |d’ or|bo in |sù |le|va|va.
|nul|la |spe|ran|za |li |con|for|ta |mai,
|e |dis|se:« O |tu |cui |col|pa |non |con|dan|na
|fu’ |io, |con |vi|ta |pu|ra e |di|so|ne|sta,
|co|me |per |l’ ac|qua il |pe|sce an|dan|do al |fon|do.
|che |tut|to |dì |la |ter|ra |ri|co|per|chia;
|Non |dis|se |Cri|sto al |suo |pri|mo |con|ven|to:
|La |ter|ra |la|gri|mo|sa |die|de |ven|to,
|de |lo |scen|der |qua |giu|so in |que|sto |cen|tro
|pro|po|si|zion |che |co|sì |ti |con|chiu|de,
|non |ca|pe|re in |trï|an|gol |due |ot|tu|si,
|io |sep|pi |tut|te, e |sì |me|nai |lor |ar|te,
|Quel |di|nan|zi:« Or |ac|cor|ri, ac|cor|ri, |mor|te!».
|di|cen|do:« |Ve|di? |so|la |que|sta |ri|ga
|far |di |noi |cen|tro e |di |sé |far |co|ro|na,
|Tac|cia |Lu|ca|no or|mai |là |do|v’ e’ |toc|ca
|for|se in |Par|na|so e|sto |lo|co |so|gna|ro.
|è |fat|to |ghiot|to, |sì |ch’ es|ser |non |puo|te
|Per |che, |se |del |ve|ni|re io |m’ ab|ban|do|no,
|d’ a|ver|lo |vi|sto |mai, |el |dis|se:« Or |ve|di»;
|d’ a|prir |lo |co|re a |l’ ac|que |de |la |pa|ce
|e |quel |son |io |che |sù |vi |por|tai |pri|ma
|ché |so|lo a |di|vo|rar|lo in|ten|de e |pu|gna,
|ta|cer |che |di|re; e |quin|di |po|scia |ge|me
|ma |quel |per |ch’ io |mo|ri’ |qui |non |mi |me|na.
|per |l’ E|van|ge|lio e |per |voi |che |scri|ve|ste
|Ma |che |ti |me|na a |sì |pun|gen|ti |sal|se?».
|Lo|co è |nel |mez|zo |là |do|ve ’l |tren|ti|no
« |Se |voi |vo|le|te |ve|de|re o |u|di|re»,
|Chi|rón |si |vol|se in |su |la |de|stra |pop|pa,
|che |par|to|ri|sce, a|man|do, il |no|stro |Si|re;
|Non |di|man|dai“ |Che |hai?” |per |quel |che |fa|ce
|Per |la |na|tu|ra |lie|ta on|de |de|ri|va,
|a’ |miei |por|tai |l’ a|mor |che |qui |raf|fi|na».
|che |fu |ser|ra|to a |Gia|no il |suo |de|lu|bro.
« |Brie|ve|men|te |sa|rà |ri|spo|sto a |voi.
|di |no|stra |via, |re|stam|mo in |su |un |pia|no
|del |pa|dre |lo|ro Al|ber|to e |di |lor |fue.
|e |dis|se:« |Pria |che |noi |siam |più |a|van|ti,
|e |in|ten|den|te |te |a|mi e |ar|ri|di!
|per |li |mes|sag|gi |de |l’ et|ter|no |re|gno;
|vi|di |sì |tor|ta, |che ’l |pian|to |de |li oc|chi
|leg|ge, |mo|ne|ta, of|fi|cio |e |co|stu|me
|lo |du|ca |mio, |di|cen|do« |Guar|da, |guar|da!»,
|pur |che |mia |co|scï|en|za |non |mi |gar|ra,
|Qui |fu in|no|cen|te |l’ u|ma|na |ra|di|ce;
|d’ al|cu|na |neb|bia, an|dar |di|nan|zi al |pri|mo
|es|sa|mi|na|va |del |cam|min |la |men|te,
|Ed |el|li a |me:« |Le |co|se |ti |fier |con|te
|di |che |si |ve|de Eu|ro|pa |ri|ve|sti|re,
|do|v’ ha ’l |vi|ca|rio |di |Pie|tro |le |pian|te.
|fin |che ’l |ma|e|stro |la |que|stion |pro|po|ne,
|Sì |mi |diè, |di|man|dan|do, |per |la |cru|na
|dis|s’ el|li a |noi,« |non |s’ a|pre |que|sta |cal|la.
|né |si |par|tì |la |gem|ma |dal |suo |na|stro,
|quel |da E|sti il |fé |far, |che |m’ a|vea |in |i|ra
|mi |dis|se:« An|cor |se’ |tu |de |li al|tri |scioc|chi?
|e |for|se |lei |sa|rà |buon |s’ i’ |l’ ap|pa|ro».
|in |per|ga|mo |si |gri|dan |quin|ci e |quin|di:
|A|mor |mi |spi|ra, |no|to, e |a |quel |mo|do
|quan|to |la |tua |ra|gion |par|ta o |de|scri|va.
|che |fu |al|ber|go |del |no|stro |di|si|ro;
|qual |d’ u|na |pian|ta, in |tan|to |dif|fe|ren|te,
|non |vi|di |spir|to in |Dio |tan|to |su|per|bo,
|Se |l’ i|ra |so|vra ’l |mal |vo|ler |s’ ag|guef|fa,
|ri|vi|de e |là |do|v’ Et|to|re |si |cu|ba;
|di|nan|zi al |mio |ve|nir |fu |sì |cor|te|se.
|per |fug|gir |lui |la|sciò |qui |lo|co |vò|to
|Li an|ti|chi |miei |e |io |nac|qui |nel |lo|co
|di |quel |che |Pra|to, |non |ch’ al|tri, |t’ a|go|gna.
|quan|tun|que a |la |na|tu|ra u|ma|na |le|ce
|tan|to |che |so|lo u|na |ca|mi|scia |ve|sta;
|E |se |più |fu |lo |suo |par|lar |dif|fu|so,
|che |ti |tre|mo|le|rà |nel |suo |a|spet|to.
|lo |dol|ce |pa|dre, e |io |ri|ma|gno in |for|se,
|di |No|stra |Don|na in |sul |li|to a|dri|a|no.
|Ed |el|li a |me:« |Que|sto |mi|se|ro |mo|do
« |Non |te|ner |pur |ad |un |lo|co |la |men|te»,
|Le |par|ti |sue |vi|vis|si|me ed |ec|cel|se
|mi|se|ri|cor|dia e |giu|sti|zia |li |sde|gna:
|cre|do |ch’ i’ |vi|di, |per|ché |più |di |lar|go,
« |In |quel|la |par|te |de |la |ter|ra |pra|va
|ciò |che |pa|re|va |pri|ma, |di|spa|rio.
|di |sua |mor|ta|li|tà |co’ |prie|ghi |tuoi,
|Al|lo|ra |più |che |pri|ma |li oc|chi a|per|si;
|d’ in|ta|gli |sì, |che |non |pur |Po|li|cle|to,
“ |Per |che |non |reg|gi |tu, |o |sa|cra |fa|me
|si |tro|van |mol|te |gio|ie |ca|re e |bel|le
|Fi|no a |quel |pun|to |mi|se|ra e |par|ti|ta
|Lo |tra|fit|to ’l |mi|rò, |ma |nul|la |dis|se;
|do|v’ e’ |le |tra|smu|tò |a |lu|me |spen|to.
|cac|ce|rà |l’ al|tra |con |mol|ta of|fen|sio|ne.
|d’ u|na |ve|ra |cit|tà; |ma |tu |vuo’ |di|re
|del |suo |ful|gor, |che |nul|la |m’ ap|pa|ri|va.
|quel |ch’ e|ra |den|tro al |sol |do|v’ io |en|tra’ |mi,
|Con |co|stui |cor|se in|fi|no al |li|to |ru|bro;
|la |piog|gia |cad|de, e |a’ |fos|sa|ti |ven|ne
|e |gi|re|rom|mi, |don|na |del |ciel, |men|tre
|sot|to |la |guar|dia |de |la |gra|ve |mo|ra.
|nel |pros|si|mo |si |dan|no, e |nel |suo a|ve|re
|O |som|ma |sa|pï|en|za, |quan|ta è |l’ ar|te
|sì |che |l’ af|fet|to |con|vien |che |si |pa|ia
|Se |vuoi |sa|per |chi |son |co|te|sti |due,
|E |pria |ch’ io |con|du|ces|si i |Gre|ci a’ |fiu|mi
|a |tan|to |se|gno |più |mo|ver |li |pie|di.
|sì |fat|ta, |che |le |gen|ti |lì |mal|va|ge
|del |son|no, e |un |chia|mar:« |Sur|gi: |che |fai?».
|E |io |a |lui:« |L’ af|fet|to |che |di|mo|stri
|in|dur|lo ad |ov|ra |ch’ a |me |stes|so |pe|sa.
|e |li oc|chi a|vea |di |le|ti|zia |sì |pie|ni,
|Noi |ci |vol|giam |coi |prin|ci|pi |ce|le|sti
|pa|li|da |ne |la |fac|cia, e |tan|to |sce|ma
|che |per |po|co |che |te|co |non |mi |ris|so!».
|è |vir|tù |da |cui |nul|la |si |ri|pa|ra.
|Ed |ec|co a |po|co a |po|co un |fum|mo |far|si
|Or |quel |che |t’ e|ra |die|tro |t’ è |da|van|ti:
|co|sì |si|cu|ro |per |lo ’n|fer|no |fre|ghi.
|pur |co|me |li oc|chi |ch’ al |pia|cer |che i |mo|ve
|ma |sì |e |più |l’ a|vei |quan|do |co|nia|vi».
|che |la |for|tu|na |che |tan|to |s’ a|spet|ta,
|A |quel|la |lu|ce |co|tal |si |di|ven|ta,
|Quel |ch’ e|ra |drit|to, il |tras|se |ver’ |le |tem|pie,
|ch’ e’ |dit|ta |den|tro |vo |si|gni|fi|can|do».
|te|men|do |no ’l |mio |dir |li |fos|se |gra|ve,
|Cri|so|sto|mo e |An|sel|mo e |quel |Do|na|to
|co|ro|na|ti |ve|nien |di |fior|da|li|so.
|Già |e|ra, e |con |pa|u|ra il |met|to in |me|tro,
|su|so an|da|va|mo; e |io |pen|sai, |an|dan|do,
|il |ve|ro in |che |si |fon|da |que|sta |pro|va.
|di|scer|ner |puoi |che |buo|ne |mer|ce |car|ca.
|co|sì |di |quel|le |sem|pi|ter|ne |ro|se
|Se|guen|do |lui, |por|ta|va |la |mia |fron|te
|per |la |cam|pa|gna; e |par|ve |di |co|sto|ro
|di |gra|do in |gra|do, |co|me |que’ |che |las|si.
|Co|sì |da |un |di |quel|li |spir|ti |pii
|can|to |che |tan|to |vin|ce |no|stre |mu|se,
|là |’ve |già |tut|ti e |cin|que |se|da|va|mo.
« |Se |lun|ga|men|te |l’ a|ni|ma |con|du|ca
|tre |so|vra ’l |te|mo e |u|na in |cia|scun |can|to.
|se |ol|tre |pro|mes|sion |te|co |si |spa|zia.
|per |di|ce|re a |Vir|gi|lio:“ |Men |che |dram|ma
|Sì |com’ |io |fui, |com’ |io |do|vë|a, |se|co,
|guar|de|re’ |io, |per |ve|der |s’ i’ ’l |co|no|sco,
|a |cui |e|spe|rï|en|za |gra|zia |ser|ba.
|tu |non |av|re|sti in |tan|to |trat|to e |mes|so
|e“ |di|vie|to” e“ |con|sor|te” |men|zio|nan|do?».
|cer|to |che ’l |tra|pas|sar |den|tro è |leg|ge|ro.
|di|nan|zi a |la |pie|tà |d’ i |due |co|gna|ti,
|da |pi|glia|re oc|chi, |per |a|ver |la |men|te,
|cor|rer |lo |mar |per |tut|to |suo |cam|mi|no,
|A |que|sto |pun|to |vo|glio |che |tu |pen|se
|La|scia|te o|gne |spe|ran|za, |voi |ch’ in|tra|te”.
|e |tu |mi |se|gui|rai |con |l’ af|fe|zio|ne,
|e |quel |dal |ter|zo, e ’l |ter|zo |poi |dal |quar|to,
|ti |con|vie|ne |schia|rar: |di|cer |con|vien|ti
|si|mi|le|men|te o|pe|ran|do a |l’ ar|ti|sta
« |Or |chi |sa |da |qual |man |la |co|sta |ca|la»,
|A |mag|gior |for|za e |a |mi|glior |na|tu|ra
|na|ti |per |me |di |Car|lo e |di |Ri|dol|fo,
|non |pe|rò |ch’ al|tra |co|sa |des|se |bri|ga,
|non |d’ al|tra |fog|gia |fat|ta |che |co|lei
|per |ch’ u|na |gen|te im|pe|ra e |l’ al|tra |lan|gue,
|ne |l’ o|ra |che |la |spo|sa |di |Dio |sur|ge
|che |fat|to a|vien |con |noi |qui|vi |sog|gior|no.
|mal|va|gio |tra|di|tor; |ch’ a |la |tua |on|ta
|e |ma|ne e |se|ra, |tut|to |mi |ri|strin|se
|d’ a|ni|me |tur|ba |ta|ci|ta e |de|vo|ta.
|Ed |el|li a |me, |co|me |per|so|na ac|cor|ta:
|E |quel|la |che |ve|dë|a i |pen|sier |du|bi
|To|sto |che |lo|co |lì |la |cir|cun|scri|ve,
|da |lui |di|strat|te e |da |lui |con|te|nu|te.
|ve|ni|va a |me |co’ |suoi |in|ten|di|men|ti.
|non |si |po|ria; |pe|rò |l’ es|sem|plo |ba|sti
|e |ne |l’ et|ter|na |poi |sì |mal |c’ im|mol|le!
|E |io |a |lui:« |Per |vo|stra |di|gni|ta|te
|non |da |pi|ra|te, |non |da |gen|te ar|go|li|ca.
|ri|tro|viam |l’ or|me |no|stre in|sie|me |rat|to».
|men|tre |che |det|to |fu:« |Per|ché |t’ ab|ba|gli
|con|tra|pe|san|do |l’ un |con |l’ al|tro |la|to.
|per |che |la |gen|te, |che |sua |gui|da |ve|de
|con |si|mi|le at|to e |con |si|mi|le |fac|cia,
|a |co|lo|ra|re |sten|de|rò |la |ma|no.
|co|me |di|ces|se a |Dio:” |D’ al|tro |non |cal|me”.
|del |be|ne|fi|cio |tuo |san|za |giu|rar|lo,
|qua|lun|que |pri|va |sé |del |vo|stro |mon|do,
|Tu |non |hai |fat|to |sì |a |l’ al|tre |bol|ge;
|sol |dif|fe|ren|do |nel |pri|mie|ro a|cu|me.
|Sta|zio |la |gen|te an|cor |di |là |mi |no|ma:
|e |que|sto |fu |il |no|stro |pa|trï|ar|ca;
|che |spez|za|te a|ve|rien |ri|tor|te e |stram|be.
|sot|to |l’ a|sber|go |del |sen|tir|si |pu|ra.
|ché |do|ve |Dio |san|za |mez|zo |go|ver|na,
|Quel|la |so|nò |co|me |fos|se un |tam|bu|ro;
|El |mor|mo|ra|va; e |non |so |che« |Gen|tuc|ca»
|che |l’ ar|te |vo|stra |quel|la, |quan|to |po|te,
|che |vi|ves|se in |I|ta|lia |pe|re|gri|na».
|per|ch’ el|la è |quel|la |che ’l |no|do |di|grop|pa.
|è |Az|zo|li|no; e |quel|l’ al|tro |ch’ è |bion|do,
|A |co|sì |ri|po|sa|to, a |co|sì |bel|lo
|que|sta |pro|ve|de, |giu|di|ca, e |per|se|gue
|E |co|me a |l’ or|lo |de |l’ ac|qua |d’ un |fos|so
|ch’ u|na |ra|na |ri|ma|ne e |l’ al|tra |spic|cia;
|se |co|sa ap|pa|re on|d’ el|li ab|bian |pa|u|ra,
|do|ve |san|z’ ar|me |vin|se il |vec|chio A|lar|do;
|ca|de |ver|tù |ne |l’ ac|qua e |ne |la |pian|ta
|che |fu |la |som|ma |d’ o|gne |cre|a|tu|ra,
|Poi |dis|se un |al|tro:« |Deh, |se |quel |di|sio
|di |me, |in|fin |che |si |con|ven|ne al |pe|lo;
|ch’ i’ |ho |ve|du|to |tut|to ’l |ver|no |pri|ma
|e |mol|ta |gen|te |per |non |es|ser |ria?
|a |que|sta |tan|to |pic|cio|la |vi|gi|lia
|che, |con|tra |sé |la |sua |via |se|gui|tan|do,
|po|scia |di |re|tro al |pe|sca|tor |le |ve|le?».
|ca|dea |de |l’ al|ta |roc|cia un |li|quor |chia|ro
|sa|reb|be |dun|que |lo|ro |spe|me |va|na,
|ed |è |ra|gion, |ché |tra |li |laz|zi |sor|bi
|de |la |sua |ma|dre, e |sem|pli|ce e |la|sci|vo
|La |don|na |mia, |che |mi |ve|dë|a in |cu|ra
|per |Fon|te |Bran|da |non |da|rei |la |vi|sta.
|par|lan|do, |di |par|la|re ar|dir |mi |por|se.
« |Deh, |or |mi |dì: |quan|to |te|so|ro |vol|le
|Ve|de|te il |re |de |la |sem|pli|ce |vi|ta
|e |spre|gian|do |na|tu|ra e |sua |bon|ta|de;
|né |più |a|mor |mi |fe|ce es|ser |più |pre|sta,
|non |ti |ma|ra|vi|gliar, |ché, |di|cen|d’ io,
|che ’n |sù |si |sten|de e |da |piè |si |rat|trap|pa.
|co|me |cia|scun |me|na|va |spes|so il |mor|so
|e |in |ter|ra |la|sciai |la |mia |me|mo|ria
|l’ al|to |dot|to|re, e |at|ten|to |guar|da|va
|do|ve |par|ve al |mio |du|ca |tem|po e |lo|co,
|né |po|trà |tan|ta |lu|ce af|fa|ti|car|ne:
|più |strin|se |mai |di |non |vi|sta |per|so|na,
|e |in |sua |di|gni|tà |mai |non |ri|ve|ne,
|quel |di |Gal|lu|ra, |va|sel |d’ o|gne |fro|da,
|che |m’ a|vea |di |pa|u|ra il |cor |com|pun|to,
|Quel |che |gia|cë|a, il |mu|so in|nan|zi |cac|cia,
« |Deh, |bel|la |don|na, |che a’ |rag|gi |d’ a|mo|re
|guar|dar |l’ un |l’ al|tro |com’ |al |ver |si |gua|ta.
|av|ve|gna |che |con |po|pol |si |ra|u|ni
|po|scia |che |s’ in|fu|tu|ra |la |tua |vi|ta
|fa |cra|sti|no |là |giù |de |l’ o|dï|er|no.
|La |pri|ma |vo|ce |che |pas|sò |vo|lan|do
|Que|sto |dis|s’ io |di|rit|to a |la |lu|me|ra
|e |que|sta |so|la |di |là |m’ è |ri|ma|sa».
|per |che |sì |for|te |guiz|za|van |le |giun|te,
|per|ch’ el|li ’n|con|tra |che |più |vol|te |pie|ga
|ri|vol|ge |sé |con|tra ’l |ta|glio |la |ro|ta.
|d’ un |quar|to |lu|me |ch’ io |vi|di |tra |noi.
|ri|tro|var |puoi |il |gran |du|ca |de’ |Gre|ci,
|La |fac|cia |sua |e|ra |fac|cia |d’ uom |giu|sto,
|e |que|sta |te|pi|dez|za il |quar|to |cer|chio
|che |puo|te |di|sneb|biar |vo|stro in|tel|let|to.
|Ro|dol|fo im|pe|ra|dor |fu, |che |po|tea
|Non, |se ’l |ma|e|stro |vo|stro |ben |vi |scri|ve».
|u’ |san|za |ri|sa|lir |nes|sun |di|scen|de;
|sem|pre |mi |stan|no in|nan|zi, e |non |in|dar|no,
|e |quan|t’ io |l’ ab|bia in |gra|do, |men|tr’ io |vi|vo
|que|ti, |san|za |mo|strar |l’ u|sa|to or|go|glio,
|Tre |vol|te il |fé |gi|rar |con |tut|te |l’ ac|que;
|e |co|me |quel |ch’ è |pa|sto |la |ri|mi|ra;
|Que|sto |non |è: |pe|rò |è |da |ve|de|re
|Co|sì |Bea|tri|ce a |me |com’ |ï|o |scri|vo;
|del |vi|so |mio |ne |l’ a|spet|to |be|a|to
|Poi |ch’ èi |po|sa|to un |po|co il |cor|po |las|so,
|ma |de |la |boc|ca,« |Che |co|se |son |que|ste?»,
|Tut|ti |co|lor |ch’ a |quel |tem|po e|ran |i|vi
|l’ an|dar |mo|stran|do |con |le |pop|pe il |pet|to.
|che |nol |po|tea |sì |con |li oc|chi |se|gui|re,
|pe|rò |ti |chi|na e |non |tor|cer |lo |gri|fo.
|co|min|ciò |el|la,« in |que|sto |luo|go e|let|to
|l’ an|guil|le |di |Bol|se|na e |la |ver|nac|cia».
|nel |pet|to |lor |trop|po |di|sir |non |fu|ma,
|Co|sì |per |Car|lo |Ma|gno e |per |Or|lan|do
|tut|to e|ra |pron|to, an|co|ra |mi |ren|dei
|mi|ra|va |fis|sa, im|mo|bi|le e |at|ten|ta,
|co|me |suol |se|gui|tar |per |al|cun |ca|so,
|on|de ’l |ma|e|stro |mio |dis|se:« |Ri|spon|di,
|Noi |sem |le|va|ti al |set|ti|mo |splen|do|re,
|far |sì |com’ |om |che |dal |son|no |si |sle|ga,
|ve|nim|mo |fuor |là |o|ve |si |mon|ta|va.
|Di |sé |fa|cea |a |sé |stes|so |lu|cer|na,
|che |mi |scal|dar, |de |la |di|vi|na |fiam|ma
|fi|so |nel |pun|to |che |m’ a|vë|a |vin|to.
|co|min|ciò |el|li,« |non |ti |sa|rà |no|to,
|là |en|tro |cer|te |ne |la |val|le |cer|no,
|dis|se:« |Den|tro |dai |fuo|chi |son |li |spir|ti;
|ver|rà, |che |la |fa|rà |mo|rir |con |do|glia.
|ché |la |lu|ce |di|vi|na è |pe|ne|tran|te
|for|se |qual |die|de ad |E|va il |ci|bo a|ma|ro.
|A |le |lor |gri|da il |mio |dot|tor |s’ at|te|se;
|u’ |la |pri|m’ om|bra |git|ta il |san|to |mon|te;
|e |quel|lo af|fuo|ca |qua|lun|que |s’ in|top|pa.
|Poi |dis|se a |me:« |El|li |stes|si |s’ ac|cu|sa;
|Non |che |Ro|ma |di |car|ro |co|sì |bel|lo
|Ca|de in |la |sel|va, e |non |l’ è |par|te |scel|ta;
|ve|de |luc|cio|le |giù |per |la |val|lea,
|che |gir |non |sa, |ma |qua |e |là |sal|tel|la,
|che |l’ ab|bi a |men|te, |s’ a |par|lar |ten |pren|de».
|per |lo |pia|ce|re u|man |che |ri|no|vel|la
|E |co|me in |fiam|ma |fa|vil|la |si |ve|de,
|Lì |si |ve|drà |la |su|per|bia |ch’ as|se|ta,
|un |car|ro, in |su |due |ro|te, |trï|un|fa|le,
|Non |han |sì |a|spri |ster|pi |né |sì |fol|ti
|che |di|cea:“ |A|na|sta|sio |pa|pa |guar|do,
|pur |su|so al |cie|lo, |pur |co|me |se |tut|to
|Pe|rò, |in |pro |del |mon|do |che |mal |vi|ve,
|El |si |fug|gì |che |non |par|lò |più |ver|bo;
|in|giu|ria è ’l |fi|ne, ed |o|gne |fin |co|ta|le
|pro|de ac|qui|star |ne |le |pa|ro|le |sue;
|Ma |voi |pren|de|te |l’ e|sca, |sì |che |l’ a|mo
|che |san|za |spe|me |vi|ve|mo in |di|sio».
|pa|re|va ar|gen|to |lì |d’ o|ro |di|stin|to.
|per |la |con|tra|di|zion |che |nol |con|sen|te”.
|nel |qual, |sì |co|me |vi|ta in |voi, |si |le|ga.
|di |re|tro |da |Ma|ria, |da |quel|la |co|sta
|Di|ce |I|saia |che |cia|scu|na |ve|sti|ta
|per |l’ al|trui |mem|bra av|vi|tic|chiò |le |sue.
|e |poi |se|con|do il |suo |pas|so |pro|ce|di».
|rac|co|man|dò |di |que|sto |fior |ve|nu|sto.
|tan|to |son |gra|vi, e |chi |di |rie|tro |li al|zi.
|Ve|ra|men|te |quan|t’ io |del |re|gno |san|to
|de |l’ a|ni|mo, |col |vi|so, |d’ es|ser |me|co;
|non |suo|nan |co|me |guai, |ma |son |so|spi|ri.
|Per |mil|le |fon|ti, |cre|do, e |più |si |ba|gna
|ben |lo |sai |tu |che |la |sai |tut|ta |quan|ta.
|Lo |spaz|zo e|ra u|na |re|na a|ri|da e |spes|sa,
|Tro|va’ |il |du|ca |mio |ch’ e|ra |sa|li|to
|O|pe|ra |na|tu|ra|le è |ch’ uom |fa|vel|la;
|on|d’ el|li:« Or |ti |con|for|ta; |ch’ ei |con|ve|ne
|non |si |est |da|re |pri|mum |mo|tum |es|se,
|Tal |mi |fe|c’ io, |quai |son |co|lor |che |stan|no,
|Co|sì |sen |gi|va; e |non |cre|do |che |fos|se
|Ri|spuo|se a|dun|que:« |Più |che |tu |non |spe|ri
« |Non |fu |la |spo|sa |di |Cri|sto al|le|va|ta
